City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Cape Town,0,ZA,1562988331,51.01,2.24,-33.93,18.42,93
San Andres,68,PH,1562988332,91.52,1.63,13.32,122.68,54
Ribeira Grande,0,PT,1562988332,71.72,12.57,38.52,-28.7,85
Alofi,45,NU,1562988334,71.6,14.99,-19.06,-169.92,94
Atuona,93,PF,1562988335,80.36,17.18,-9.8,-139.03,75
Verkhnyaya Inta,45,RU,1562988335,63.8,8.57,65.99,60.32,53
Goundam,15,ML,1562988336,87.92,20.4,16.42,-3.66,46
Bam,0,IR,1562988291,79.46,5.39,29.11,58.36,17
Ponta Delgada,20,PT,1562988337,66.2,4.7,37.73,-25.67,82
Georgetown,75,GY,1562988154,75.2,4.7,6.8,-58.16,100
Gao,96,ML,1562988340,85.4,19.26,16.28,-0.04,50
Shelburne,20,CA,1562988340,68,8.05,44.08,-80.2,82
Sabha,0,LY,1562988341,83.42,0.89,27.03,14.43,15
Vostok,100,RU,1562988342,63.62,1.9,46.45,135.83,80
New Norfolk,75,AU,1562988343,46.4,17.22,-42.78,147.06,65
Emerald,79,AU,1562988344,73.4,9.17,-23.53,148.16,33
Gudermes,75,RU,1562988344,62.6,6.71,43.34,46.1,93
Vaini,75,IN,1562988345,73.4,6.93,15.34,74.49,94
Saint-Pierre,0,FR,1562988346,55.4,5.82,48.95,4.24,87
Hobart,75,AU,1562988368,46.4,17.22,-42.88,147.33,65
Kodiak,1,US,1562988371,79,5.82,39.95,-94.76,41
Lorengau,100,PG,1562988372,80.54,11.05,-2.02,147.27,72
Fundulea,0,RO,1562988373,60.8,1.12,44.47,26.51,82
Klaksvik,99,FO,1562988374,50,4.7,62.23,-6.59,100
Ucluelet,31,CA,1562988227,71.01,9.42,48.94,-125.55,89
Dikson,61,RU,1562988376,32.48,13.8,73.51,80.55,96
Zhob,0,PK,1562988378,82.7,14.76,31.34,69.45,24
Lompoc,90,US,1562988379,66.99,6.93,34.64,-120.46,100
Hermanus,0,ZA,1562988381,51.01,10.94,-34.42,19.24,96
Lebu,90,ET,1562988382,57.2,4.7,8.96,38.73,93
Husavik,51,CA,1562988382,68,4.36,50.56,-96.99,62
Albany,75,US,1562988275,73,10.29,42.65,-73.75,73
San Angelo,1,US,1562988180,84.2,8.05,31.46,-100.44,42
Paamiut,100,GL,1562988384,41.66,13.65,61.99,-49.67,92
Vitina,40,GR,1562988385,71.01,4.7,41.43,24.76,77
Tuatapere,100,NZ,1562988386,53.01,10.74,-46.13,167.69,81
Beringovskiy,43,RU,1562988386,74.42,4,63.05,179.32,44
Fairbanks,90,US,1562988239,64.4,2.1,64.84,-147.72,82
Port Elizabeth,1,US,1562988387,79,3.36,39.31,-74.98,94
Touros,40,BR,1562988388,73.4,4.7,-5.2,-35.46,100
Hasaki,75,JP,1562988389,80.6,4.7,35.73,140.83,69
Kochi,59,IN,1562988389,82.4,3.36,9.96,76.25,83
Melo,100,UY,1562988390,60.2,5.3,-32.37,-54.17,94
Dingle,100,PH,1562988391,84.32,2.95,11,122.67,68
Chuy,77,UY,1562988393,54.8,10.56,-33.69,-53.46,94
Goderich,0,CA,1562988393,62.01,4,43.74,-81.71,87
Vila Franca do Campo,20,PT,1562988280,66.2,4.7,37.72,-25.43,82
Najran,40,SA,1562988394,87.8,6.93,17.54,44.22,22
Constitucion,75,MX,1562988395,64.4,3.36,23.99,-104.67,72
East London,2,ZA,1562988395,54.26,7.87,-33.02,27.91,88
Butembo,100,CD,1562988396,61.28,1.3,0.12,29.29,99
Carnarvon,0,ZA,1562988396,50.84,8.59,-30.97,22.13,29
Fortuna,90,US,1562988397,71.01,11.41,40.6,-124.16,87
Clyde River,90,CA,1562988398,42.8,3.36,70.47,-68.59,93
Auki,85,NG,1562988398,75.32,6.58,12.18,6.51,69
Tongchuan,0,CN,1562988399,86,4.47,34.9,108.95,55
Thompson,40,CA,1562988399,68,5.82,55.74,-97.86,49
Khatanga,90,RU,1562988400,51.56,10,71.98,102.47,74
Puqi,99,CN,1562988400,80.36,4.5,29.72,113.88,75
Cap Malheureux,40,MU,1562988401,64.99,8.05,-19.98,57.61,82
Mar del Plata,99,AR,1562988403,41.66,6.06,-46.43,-67.52,67
Marawi,100,PH,1562988427,84,1.99,8,124.29,74
Paita,0,PE,1562988428,64.16,9.4,-5.09,-81.11,92
Arraial do Cabo,0,BR,1562988428,66.14,7.16,-22.97,-42.02,82
Hithadhoo,0,MV,1562988428,84.32,13.62,-0.6,73.08,75
Yar-Sale,0,RU,1562988429,59.12,7.31,66.83,70.83,60
Severo-Kurilsk,83,RU,1562988429,44.72,10.76,50.68,156.12,94
San Jose,1,HN,1562988430,78.8,6.93,14.25,-87.96,54
Mahibadhoo,21,MV,1562988430,83.78,9.75,3.78,72.97,76
Provideniya,100,RU,1562988431,74.24,5.97,64.42,-173.23,38
Moissala,100,TD,1562988431,70.1,1.21,8.34,17.77,94
Knysna,20,ZA,1562988432,46.4,6.93,-34.04,23.05,93
Fuxin,0,CN,1562988432,85.58,9.26,42.02,121.65,40
Swan River,1,CA,1562988433,58.4,4.76,52.11,-101.27,81
Cidreira,100,BR,1562988433,63.62,4.92,-30.17,-50.22,90
Saskylakh,100,RU,1562988431,55.88,7.83,71.97,114.09,57
Plouzane,0,FR,1562988434,59,6.93,48.38,-4.62,93
Pevek,100,RU,1562988434,38.96,8.79,69.7,170.27,97
Upernavik,12,GL,1562988435,45.26,13.53,72.79,-56.15,82
Yenagoa,92,NG,1562988435,72.62,2.1,4.92,6.26,95
Salalah,90,OM,1562988434,78.8,8.05,17.01,54.1,100
Jining,0,CN,1562988437,92.06,0.51,35.41,116.58,38
Tuktoyaktuk,75,CA,1562988437,48.2,5.82,69.44,-133.03,66
Kapaa,75,US,1562988438,87.8,16.11,22.08,-159.32,69
Beyla,100,GN,1562988438,67.94,2.26,8.69,-8.65,99
Jamestown,15,AU,1562988421,51.2,14.36,-33.21,138.6,64
Muisne,85,EC,1562988440,75.14,11.48,0.61,-80.02,82
Nibe,0,DK,1562988441,55.99,5.91,56.98,9.64,97
Talladega,1,US,1562988441,82.99,4.7,33.44,-86.11,74
Teguise,20,ES,1562988442,71.6,11.41,29.06,-13.56,83
Victor Harbor,40,AU,1562988443,55.4,18.34,-35.55,138.62,58
Darnah,0,LY,1562988443,76.58,14.45,32.77,22.64,71
Soissons,0,FR,1562988444,59,3.49,49.38,3.32,87
Maputo,75,MZ,1562988444,64.4,10.29,-25.97,32.57,77
Manaure,0,CO,1562988444,78.56,18.25,11.78,-72.45,86
Cayenne,0,GF,1562988438,73.4,3.74,4.94,-52.33,100
Waipawa,0,NZ,1562988437,55.99,11.01,-39.94,176.59,72
Ancud,75,CL,1562988443,44.6,6.93,-41.87,-73.83,93
Saint George,20,GR,1562988446,64.4,0.92,39.45,22.34,100
Nishihara,75,JP,1562988447,84,2.24,35.74,139.53,74
Kidal,0,ML,1562988447,87.56,3.13,18.44,1.41,30
Port Alfred,2,ZA,1562988448,55.99,1.99,-33.59,26.89,92
Vostochnyy,40,RU,1562988448,53.6,4.47,55.82,37.87,93
Ulaanbaatar,20,MN,1562988437,77,6.71,47.92,106.92,33
Kruisfontein,9,ZA,1562988449,50.12,4.47,-34,24.73,93
Westport,1,US,1562988450,77,5.82,41.14,-73.36,64
Longyearbyen,75,NO,1562988449,41,17.22,78.22,15.63,86
Praya,40,ID,1562988451,82.4,14.99,-8.71,116.27,58
Kaitangata,100,NZ,1562988451,54,1.01,-46.28,169.85,60
Petropavlovsk-Kamchatskiy,90,RU,1562988461,51.8,11.18,53.05,158.65,100
Mount Gambier,75,AU,1562988489,51.8,18.34,-37.83,140.78,71
Atasu,23,KZ,1562988490,72.62,16.8,48.68,71.64,39
Jieshi,100,CN,1562988490,88,4,22.82,115.83,78
Santa Rosa,0,AR,1562988491,44.9,4.61,-36.62,-64.29,52
Palu,2,ID,1562988491,83.78,4.72,-0.9,119.87,66
Abbeville,31,FR,1562988492,61,1.12,50.11,1.83,100
Lavrentiya,100,RU,1562988436,72.08,5.21,65.58,-170.99,36
Sume,0,RS,1562988493,51.8,4.03,43.62,20.22,100
Takoradi,40,GH,1562988493,70.82,3.6,4.89,-1.75,97
Madisonville,1,US,1562988494,75.99,4.45,37.33,-87.5,83
Kavaratti,2,IN,1562988472,83.24,11.77,10.57,72.64,77
Moree,75,AU,1562988494,62.6,23.04,-29.46,149.84,42
Hay River,75,CA,1562988495,59,4.7,60.82,-115.79,62
Victoria,75,BN,1562988409,87.8,3.36,5.28,115.24,74
Hovd,75,NO,1562988471,53.01,8.05,63.83,10.7,81
Saint Joseph,1,US,1562988496,79,4.99,39.77,-94.85,65
Souillac,20,FR,1562988500,64.99,2.24,45.6,-0.6,93
Surovikino,38,RU,1562988500,62,4.63,48.61,42.84,77
Dungarvan,69,IE,1562988501,59,5.01,52.09,-7.62,74
Bugasong,100,PH,1562988501,82.52,4,11.04,122.06,72
Morgan City,90,US,1562988502,80.01,28.86,29.7,-91.21,94
Bossangoa,100,CF,1562988503,68.84,1.01,6.5,17.45,95
Williams Lake,75,CA,1562988504,64.4,9.17,52.13,-122.14,59
Wawa,100,NG,1562988504,72.44,6.02,9.9,4.41,86
Tondano,20,ID,1562988505,87.8,11.41,1.3,124.91,55
Dong Hoi,100,VN,1562988505,90.26,10.16,17.48,106.6,57
Balakhninskiy,100,RU,1562988506,64.7,6.06,58.01,114.28,67
Yomou,100,GN,1562988507,69.56,1.92,7.57,-9.26,99
Pacific Grove,90,US,1562988507,79,8.05,36.62,-121.92,77
Torbay,5,CA,1562988469,50,13.87,47.66,-52.73,93
Karaton,20,ID,1562988508,86,3.36,-6.34,106.1,55
Mulchen,82,CL,1562988509,45.44,7,-37.72,-72.23,91
Trstena,75,SK,1562988510,57,2.24,49.36,19.61,87
Wuwei,0,CN,1562988511,81.08,5.79,37.93,102.64,24
Puerto Madryn,0,AR,1562988401,45.26,14.58,-42.77,-65.04,66
Castanos,2,MX,1562988512,91,19.33,26.78,-101.42,34
Tabou,89,CI,1562988513,72.62,4.36,4.42,-7.36,93
Tabuk,0,PH,1562988513,81.26,5.39,17.41,121.44,57
Bakchar,0,RU,1562988514,73.34,4,57.02,82.07,45
Kahului,20,US,1562988426,86,19.46,20.89,-156.47,51
Belmonte,48,PT,1562988508,64.99,0.81,40.36,-7.35,90
Banepa,90,NP,1562988547,68,9.17,27.63,85.52,100
Marsa Matruh,40,EG,1562988461,73.4,8.08,31.35,27.25,83
Skagen,7,SE,1562988549,57.2,2.24,58.6,13.44,100
Ostersund,95,SE,1562988550,52,12.75,63.18,14.64,87
Weinan,0,CN,1562988551,86,4.47,34.5,109.46,55
Leningradskiy,92,RU,1562988436,47.24,7.81,69.38,178.42,77
Nuuk,75,GL,1562988552,44.6,11.41,64.17,-51.74,87
Kulhudhuffushi,68,MV,1562988466,83.24,6.6,6.62,73.07,73
Energetik,97,RU,1562988553,77.12,6.85,51.74,58.8,44
Sitka,0,US,1562988433,75.99,1.99,37.17,-99.65,69
Itarema,0,BR,1562988553,73.16,5.66,-2.92,-39.92,89
Porto Novo,0,BR,1562988554,53.6,1.12,-23.68,-45.44,87
San Cristobal,13,HN,1562988504,68.12,7.34,14.68,-86.92,82
La Ronge,20,CA,1562988510,64.4,4.7,55.1,-105.3,82
Johi,0,PK,1562988555,97.1,10.04,26.69,67.61,42
Port Moresby,75,PG,1562988556,80.6,11.41,-9.47,147.16,69
Russell,1,US,1562988557,78.8,9.17,38.9,-98.86,57
Fojnica,0,BA,1562988557,50,3.36,43.96,17.9,100
Vila Velha,75,BR,1562988480,86,13.87,-3.71,-38.6,74
Pincher Creek,1,CA,1562988558,69.01,3.36,49.49,-113.95,49
Thunder Bay,5,CA,1562988367,69.01,3.36,48.41,-89.26,68
Kangaatsiaq,100,GL,1562988558,42.92,9.22,68.31,-53.46,89
Chokurdakh,100,RU,1562988451,53.9,12.68,70.62,147.9,74
Los Llanos de Aridane,0,ES,1562988443,69.8,8.05,28.66,-17.92,77
Krasnovishersk,100,RU,1562988560,54.26,6.2,60.4,57.08,97
Hargeysa,95,SO,1562988413,68.84,24.34,9.56,44.06,66
Quatre Cocos,40,MU,1562988523,64.99,8.05,-20.21,57.76,82
Beloha,0,MG,1562988561,55.88,5.06,-25.17,45.06,87
Axim,57,GH,1562988448,74.24,11.14,4.87,-2.24,91
Shache,2,CN,1562988562,72,13.27,38.42,77.24,90
Cravo Norte,95,CO,1562988562,74.96,3.76,6.3,-70.2,91
Zavitinsk,45,RU,1562988563,77.84,4.12,50.11,129.44,65
Komsomolskiy,0,RU,1562988532,58.4,5.91,67.55,63.78,52
Beipiao,23,CN,1562988564,80.18,9.84,41.8,120.76,46
Humenne,0,UA,1562988565,53.6,4.47,49.19,28.7,87
Faanui,0,PF,1562988484,78.02,4.16,-16.48,-151.75,68
Dhidhdhoo,81,MV,1562988438,83.42,6.71,6.88,73.1,71
Santa Isabel do Rio Negro,81,BR,1562988568,72.08,2.59,-0.41,-65.02,98
Apache Junction,1,US,1562988568,104,13.87,33.41,-111.55,19
Iqaluit,40,CA,1562988472,51.8,9.17,63.75,-68.52,71
Mehamn,100,NO,1562988570,44.18,5.64,71.03,27.85,78
Avarua,43,CK,1562988433,73.4,5.82,-21.21,-159.78,73
Saint-Philippe,75,CA,1562988429,72,6.93,45.36,-73.48,68
Todos Santos,5,MX,1562988608,89.01,9.17,23.45,-110.23,27
Pastos Bons,0,BR,1562988608,72.98,5.75,-6.6,-44.09,66
Nanortalik,77,GL,1562988434,42.92,4.63,60.14,-45.24,84
Kasane,0,BW,1562988609,41,4.7,-17.8,25.16,48
Balkhash,0,KZ,1562988610,75.2,24.61,46.84,74.98,38
Moissac,40,FR,1562988611,69.8,5.82,44.11,1.08,88
Mahebourg,40,MU,1562988511,64.99,8.05,-20.41,57.7,82
Podor,0,MR,1562988612,79.46,11.72,16.65,-14.96,60
Uyar,99,RU,1562988613,71.18,11.34,55.81,94.33,37
Derzhavinsk,0,KZ,1562988614,78.2,12.93,51.1,66.31,43
Sola,98,TZ,1562988497,68.66,1.48,-3.17,33.8,69
Dalbandin,0,PK,1562988615,85.76,8.3,28.9,64.41,46
Vallenar,0,CL,1562988615,45.62,1.48,-28.58,-70.76,71
Xichang,100,CN,1562988616,56.24,2.46,27.88,102.25,94
Colares,20,PT,1562988617,66.99,11.41,38.8,-9.45,93
Beaverlodge,40,CA,1562988598,68,8.05,55.21,-119.43,56
Sobolevo,0,RU,1562988465,44,4.23,54.43,31.9,84
Ballina,96,IE,1562988618,57,1.01,54.11,-9.15,85
Monrovia,75,LR,1562988618,75.2,9.4,6.33,-10.8,100
Miyako,75,JP,1562988619,70,12.75,33.63,130.94,100
Airai,80,TL,1562988443,81.26,3.13,-8.93,125.41,47
Beyneu,0,KZ,1562988620,85.58,13.18,45.32,55.19,53
Hunchun,1,CN,1562988620,84.32,1.39,42.86,130.36,49
Bambous Virieux,40,MU,1562988518,64.99,8.05,-20.34,57.76,82
Opuwo,7,NA,1562988621,49.76,3.29,-18.06,13.84,57
Oriximina,0,BR,1562988525,77.48,6.4,-1.77,-55.87,83
Aklavik,20,CA,1562988437,55.4,6.93,68.22,-135.01,54
Mandalgovi,0,MN,1562988623,74.6,12.64,45.76,106.27,37
Abu Samrah,0,SY,1562988623,68.12,13,35.3,37.18,83
Sechura,0,PE,1562988624,63.98,7.96,-5.56,-80.82,89
Sorland,0,NO,1562988480,50.12,23.44,67.67,12.69,83
Bundaberg,100,AU,1562988624,77,12.75,-24.87,152.35,27
Kushima,75,JP,1562988625,75.2,2.24,31.5,131.29,83
Pangkalanbuun,31,ID,1562988356,85.76,4.81,-2.68,111.62,60
Saldanha,52,PT,1562988494,73.88,3.51,41.42,-6.55,50
Unity,5,CA,1562988626,70,1.99,52.44,-109.15,75
Chumikan,93,RU,1562988626,60.92,6.22,54.72,135.31,77
Saint-Denis,0,FR,1562988627,63,3.36,48.94,2.36,77
Clermont,0,FR,1562988649,63,3.36,49.38,2.41,93
Grindavik,90,IS,1562988518,53.6,6.93,63.84,-22.43,93
Chalus,75,IR,1562988650,77,6.93,36.66,51.42,94
San Quintin,0,PH,1562988481,86.84,6.8,17.54,120.52,65
Meulaboh,64,ID,1562988439,81.8,6.38,4.14,96.13,77
Westerland,75,NL,1562988667,62.01,4.7,52.89,4.93,87
Carutapera,23,BR,1562988544,73.88,4.74,-1.2,-46.02,95
Sangar,33,RU,1562988669,90.08,2.26,63.92,127.47,31
Mongomo,100,GA,1562988670,65.96,2.37,1.63,11.31,99
Smithers,75,CA,1562988671,64.4,5.82,54.78,-127.17,72
Kaduqli,100,SD,1562988671,71.18,3.31,11.01,29.72,88
Ginda,90,IN,1562988672,77,3.36,30.69,78.49,100
Tuensang,100,IN,1562988673,75.68,2.57,26.24,94.81,95
Cranbourne,75,AU,1562988673,52,21.92,-38.11,145.28,81
Nemesvamos,0,HU,1562988673,59,2.24,47.06,17.87,100
Kaihua,100,CN,1562988674,73.52,4.03,29.14,118.41,99
Belen Gualcho,77,HN,1562988674,69.01,0.87,14.48,-88.79,1
Rio Gallegos,90,AR,1562988617,33.8,4.7,-51.62,-69.22,100
Dire Dawa,100,ET,1562988676,65.96,6.85,9.59,41.86,74
Port-Gentil,100,GA,1562988677,75.68,10.36,-0.72,8.78,85
Mirik,100,IN,1562988677,63.26,3.78,26.89,88.19,97
Dongkan,56,CN,1562988678,83.06,2.71,34,119.83,63
Half Moon Bay,90,US,1562988428,66.99,8.05,37.46,-122.43,93
Owando,52,CG,1562988680,69.74,2.06,-0.49,15.91,95
Lokachi,25,UA,1562988680,55,4.34,50.74,24.65,96
Miramar,40,CR,1562988545,71.6,2.24,10.09,-84.73,83
Fort Nelson,90,CA,1562988682,55.4,6.93,58.81,-122.69,82
Luba,0,PH,1562988682,86.84,6.8,17.32,120.7,65
Ayan,0,IR,1562988683,69.8,4.7,38.23,44.7,30
Paracuru,75,BR,1562988684,86,13.87,-3.41,-39.03,74
Borovoy,100,RU,1562988685,55.7,1.99,63.23,52.89,92
Poum,20,MK,1562988686,50,2.24,41.28,20.71,87
Chara,20,GR,1562988686,64.4,0.92,39.42,22.43,100
Floro,10,NO,1562988687,55.4,3.36,61.6,5.03,87
Ruston,1,US,1562988688,82.4,3.36,32.52,-92.64,88
San Patricio,52,PY,1562988456,66.68,3.94,-26.98,-56.83,75
Shimoda,75,JP,1562988689,82,5.82,34.7,138.93,88
Kushiro,90,JP,1562988689,60.8,17.22,43.11,144.15,100
Nawalapitiya,79,LK,1562988690,73.88,3.89,7.06,80.53,83
Diamantino,0,BR,1562988691,70.28,2.08,-14.4,-56.44,46
Pisco,90,PE,1562988490,62.6,2.24,-13.71,-76.2,88
Galdar,0,ES,1562988692,71.6,21.92,28.15,-15.65,78
Dabhol,100,IN,1562988693,81.98,10.33,17.6,73.17,84
La Asuncion,98,AR,1562988693,48.14,1.81,-26.05,-65.39,95
Yulara,0,AU,1562988448,60.8,11.41,-25.24,130.99,41
Palana,0,RU,1562988695,54.98,4.72,59.08,159.95,80
Chita,9,RU,1562988696,80.6,4.47,52.03,113.5,51
Alta Floresta,0,BR,1562988696,71.6,2.19,-9.87,-56.08,88
Kattivakkam,75,IN,1562988727,82.4,5.82,13.22,80.32,74
Machala,40,EC,1562988728,89.6,8.05,-3.26,-79.96,33
Oranjestad,20,AW,1562988448,82.4,19.46,12.52,-70.03,74
Menzelinsk,90,RU,1562988732,59,20.13,55.73,53.11,93
Praxedis Guerrero,1,MX,1562988733,89.01,4.7,31.37,-106.02,29
Avera,1,US,1562988734,81,5.82,33.19,-82.53,83
Verkhoyansk,0,RU,1562988735,84.14,3.69,67.55,133.39,31
Northam,57,AU,1562988464,60.8,11.41,-31.65,116.67,59
Saquena,41,PE,1562988737,73.7,1.36,-4.67,-73.52,84
Larsnes,100,NO,1562988737,53.01,4.7,62.2,5.58,87
Guerrero Negro,0,MX,1562988421,67.04,16.64,27.97,-114.04,83
Albanel,90,CA,1562988738,66,5.82,48.88,-72.44,93
Luderitz,0,NA,1562988503,50,4.7,-26.65,15.16,87
Worland,1,US,1562988740,80.6,8.05,44.02,-107.96,33
Alihe,97,CN,1562988741,80.54,5.93,50.57,123.73,40
Douentza,71,ML,1562988741,83.78,12.3,15.01,-2.95,47
Mount Isa,15,AU,1562988454,71.6,18.34,-20.73,139.49,26
Geraldton,40,CA,1562988591,64.4,5.82,49.72,-86.95,77
Sisimiut,100,GL,1562988468,40.94,12.06,66.94,-53.67,89
Port Antonio,20,JM,1562988507,84.2,12.75,18.18,-76.45,58
Evensk,0,RU,1562988467,69.38,7.96,61.92,159.24,51
Ilebo,81,CD,1562988746,69.74,2.08,-4.33,20.59,93
Sasebo,75,JP,1562988747,69.8,14.99,33.18,129.67,100
Nicoya,0,CR,1562988748,77,3.36,10.15,-85.45,83
Tuy Hoa,4,VN,1562988543,92.96,10.47,13.08,109.3,42
Kloulklubed,75,PW,1562988545,84.2,23.04,7.04,134.26,74
Kununurra,0,AU,1562988533,84.2,20.8,-15.77,128.74,17
Saint Anthony,1,US,1562988444,78.8,5.82,43.97,-111.68,34
Tiksi,79,RU,1562988432,51.56,9.71,71.64,128.87,53
Sao Joao da Barra,0,BR,1562988472,61.28,2.06,-21.64,-41.05,90
Muravlenko,0,RU,1562988527,69.56,7.7,63.79,74.5,44
Mana,100,NG,1562988752,80,8.32,13.03,5.27,68
Buraydah,0,SA,1562988752,80.6,8.05,26.33,43.97,30
Puerto El Triunfo,20,SV,1562988752,80.6,5.82,13.27,-88.55,83
Virginia Beach,75,US,1562988660,84.2,13.91,36.85,-75.98,78
Marsh Harbour,54,BS,1562988457,83.24,12.39,26.54,-77.06,78
Santona,76,ES,1562988754,68,4.25,43.44,-3.46,88
Fez,0,MA,1562988754,66.2,4.7,34.03,-5.02,72
Taoudenni,0,ML,1562988558,92.6,7.72,22.68,-3.98,10
Srandakan,1,ID,1562988755,76.4,17.02,-7.94,110.25,77
Isangel,75,VU,1562988529,80.6,11.41,-19.55,169.27,65
Nybro,91,SE,1562988756,59,3.36,56.75,15.91,93
Ilulissat,0,GL,1562988453,41,3.36,69.22,-51.1,93
Labuhan,100,ID,1562988757,88.1,0.83,-2.54,115.51,50
Dakoro,86,NE,1562988757,84.14,12.75,14.51,6.76,55
Mabopane,0,ZA,1562988758,48,5.82,-25.51,28.07,45
Tafresh,20,IR,1562988787,62.6,6.93,34.69,50.01,36
Bonthe,100,SL,1562988788,75.32,6.69,7.53,-12.5,90
Taos,75,US,1562988724,78.8,5.82,36.41,-105.57,24
Waitati,100,NZ,1562988789,52,5.99,-45.75,170.57,76
Sinegorye,34,RU,1562988790,80.72,5.53,62.09,150.53,32
Talaya,0,RU,1562988791,71.6,8.95,55.79,84.89,53
Uusikaupunki,0,FI,1562988791,46.99,3.36,60.8,21.41,87
Gambela,100,ET,1562988792,64.52,2.19,8.25,34.59,84
Bilma,0,NE,1562988492,88.28,9.57,18.69,12.92,33
Phan Thiet,0,VN,1562988793,89.18,8.52,10.93,108.1,51
Micheweni,16,TZ,1562988793,78.38,17.54,-4.97,39.83,78
Mbuji-Mayi,31,CD,1562988793,66.32,3.27,-6.13,23.6,91
Campbell River,75,CA,1562988549,71.6,3.36,50.02,-125.24,77
Codrington,95,AU,1562988795,73.4,12.75,-28.95,153.24,35
Marshall,1,US,1562988795,75.99,2.98,39.12,-93.2,83
Samarai,100,PG,1562988530,73.16,4,-10.62,150.67,97
Ekhabi,82,RU,1562988796,58.58,8.41,53.51,142.97,76
Kawalu,39,ID,1562988797,74.42,5.99,-7.38,108.21,68
Harnoli,5,PK,1562988797,97.82,17.27,32.28,71.55,43
Alugan,100,PH,1562988798,82.52,3.53,12.22,125.48,86
Moose Factory,90,CA,1562988798,57.2,5.82,51.26,-80.61,93
Maharajganj,100,IN,1562988800,77.3,6.42,26.11,84.5,95
La Trinite,20,FR,1562988800,59,8.05,48.25,-4.26,93
Yeniseysk,71,RU,1562988801,76.76,2.39,58.45,92.17,37
Portree,83,GB,1562988801,54,5.01,57.41,-6.19,95
Szecseny,40,HU,1562988802,57,1.12,48.08,19.52,93
Itoman,75,JP,1562988802,89.6,13.87,26.12,127.67,79
Khandyga,100,RU,1562988803,83.78,3.65,62.65,135.58,34
Vangaindrano,0,MG,1562988803,56.24,2.17,-23.35,47.6,94
Acajutla,68,SV,1562988585,84.14,1.61,13.59,-89.83,74
Bilibino,98,RU,1562988804,77.66,12.48,68.06,166.44,33
Gandhidham,22,IN,1562988805,86.66,19.77,23.07,70.13,63
Hualmay,100,PE,1562988805,62.36,14.7,-11.1,-77.61,87
Bunia,100,CD,1562988806,62.72,2.59,1.56,30.25,97
Havelock,1,US,1562988419,82.99,11.41,34.88,-76.9,78
Puerto Narino,40,CO,1562988807,73.4,2.24,-3.77,-70.38,100
Zlitan,0,LY,1562988808,73.88,2.17,32.47,14.57,88
Hambantota,75,LK,1562988809,78.8,9.17,6.12,81.12,100
Brae,100,GB,1562988811,51.8,6.93,60.4,-1.35,93
Bhag,0,PK,1562988243,90.08,4.29,29.04,67.82,53
Anadyr,0,RU,1562988441,78.8,4.47,64.73,177.51,39
Colon,75,PH,1562988812,86,11.41,10.22,123.75,70
Kirovskaya,20,RU,1562988813,59,4.47,46.97,40.04,93
Abnub,0,EG,1562988813,82.4,6.93,27.27,31.15,39
Trelew,0,AR,1562988579,43.64,11.88,-43.25,-65.31,64
Azangaro,0,PE,1562988847,36.26,3.15,-14.91,-70.2,36
Tomatlan,97,MX,1562988848,82.52,6.24,19.93,-105.25,82
Taltal,53,CL,1562988849,50.3,2.73,-25.41,-70.49,80
